Record#,Date,Time Stamp,Packet#,Validity,Total,Ins,Outs,Passby
1,14-Mar,10:00:31 AM,2,Valid,5,2,3,0
1,14-Mar,10:00:31 AM,3,Valid,5,3,2,0
1,14-Mar,10:00:31 AM,4,Valid,5,1,1,3
2,14-Mar,10:05:41 AM,5,Valid,5,2,0,3
4,14-Mar,10:08:26 AM,6,Valid,5,1,1,3
7,14-Mar,10:09:47 AM,0,Valid,5,1,3,1
10,14-Mar,10:13:23 AM,0,Valid,5,0,3,2
11,14-Mar,10:15:16 AM,0,Valid,5,3,2,0
12,14-Mar,10:16:23 AM,1,Valid,5,2,1,2
13,14-Mar,10:18:17 AM,2,Valid,5,2,1,2
15,14-Mar,10:20:10 AM,3,Valid,5,0,1,4
16,14-Mar,10:27:24 AM,0,Valid,5,0,2,3
18,14-Mar,10:30:05 AM,1,Valid,5,2,1,2
21,14-Mar,10:31:00 AM,2,Valid,5,3,1,1
24,14-Mar,10:31:48 AM,0,Valid,5,2,0,3
25,14-Mar,10:34:30 AM,0,Valid,5,1,2,2
31,14-Mar,10:49:11 AM,1,Valid,5,2,1,2
31,14-Mar,10:49:11 AM,2,Valid,5,2,1,2
31,14-Mar,10:49:11 AM,3,Valid,5,2,0,3
37,14-Mar,10:51:44 AM,0,Valid,5,1,1,3
40,14-Mar,10:53:15 AM,1,Valid,5,2,0,3
43,14-Mar,10:54:46 AM,2,Valid,5,0,4,1
46,14-Mar,10:55:46 AM,3,Valid,5,1,0,4
52,14-Mar,10:58:36 AM,4,Valid,5,1,2,2
54,14-Mar,11:00:06 AM,5,Valid,5,1,2,2
55,14-Mar,11:01:53 AM,6,Valid,5,2,2,1
58,14-Mar,11:04:45 AM,7,Valid,5,1,1,3
59,14-Mar,11:07:01 AM,8,Valid,5,1,3,1
62,14-Mar,11:12:06 AM,0,Valid,5,3,2,0
63,14-Mar,11:15:44 AM,1,Valid,5,2,0,3
64,14-Mar,11:18:11 AM,2,Valid,5,1,2,2
65,14-Mar,11:23:44 AM,3,Valid,5,1,2,2
68,14-Mar,11:34:08 AM,4,Valid,5,1,3,1
68,14-Mar,11:34:08 AM,5,Valid,5,0,2,3
69,14-Mar,11:37:20 AM,6,Valid,5,3,0,2
70,14-Mar,11:38:24 AM,7,Valid,5,2,2,1
71,14-Mar,11:44:24 AM,8,Valid,5,3,0,2
72,14-Mar,11:57:48 AM,9,Valid,5,4,0,1
72,14-Mar,11:57:48 AM,10,Valid,5,3,0,2
74,14-Mar,11:59:06 AM,11,Valid,5,1,1,3
75,14-Mar,12:00:14 PM,0,Valid,5,0,2,3
76,14-Mar,12:01:28 PM,1,Valid,5,1,2,2
80,14-Mar,12:03:58 PM,2,Valid,5,1,2,2
81,14-Mar,12:06:42 PM,0,Valid,5,1,0,4
84,14-Mar,12:10:07 PM,0,Valid,5,1,1,3
134,14-Mar,4:30:42 PM,0,Valid,5,2,3,0
135,14-Mar,4:31:29 PM,0,Valid,5,1,4,0
137,14-Mar,4:32:16 PM,0,Valid,5,0,5,0
139,14-Mar,4:33:21 PM,0,Valid,5,0,5,0
140,14-Mar,4:36:29 PM,0,Valid,5,2,3,0
141,14-Mar,4:38:04 PM,1,Valid,5,0,4,1
142,14-Mar,4:39:46 PM,2,Valid,5,2,2,1
147,14-Mar,4:42:09 PM,3,Valid,5,1,4,0
152,14-Mar,4:45:34 PM,4,Valid,5,2,2,1
153,14-Mar,4:49:16 PM,5,Valid,5,0,1,4
154,14-Mar,4:52:23 PM,6,Valid,5,0,2,3
157,14-Mar,5:07:16 PM,0,Valid,5,0,4,1
157,14-Mar,5:07:16 PM,1,Valid,5,2,2,1
158,14-Mar,5:19:47 PM,2,Valid,5,1,2,2
158,14-Mar,5:19:47 PM,3,Valid,5,0,2,3
167,15-Mar,11:49:48 AM,4,Valid,5,0,2,3
167,15-Mar,11:49:48 AM,5,Valid,5,0,4,1
168,15-Mar,11:51:10 AM,6,Valid,5,0,3,2
169,15-Mar,11:54:19 AM,7,Valid,5,1,0,4
170,15-Mar,12:15:43 PM,10,Valid,5,3,2,0
170,15-Mar,12:15:43 PM,11,Valid,5,1,2,2
170,15-Mar,12:15:43 PM,12,Valid,5,0,5,0
171,15-Mar,12:18:28 PM,13,Valid,5,0,2,3
172,15-Mar,12:21:24 PM,14,Valid,5,0,0,5
175,15-Mar,4:22:21 PM,27,Valid,5,1,2,2
175,15-Mar,4:22:21 PM,28,Valid,5,0,0,5
175,15-Mar,4:22:21 PM,29,Valid,5,0,0,5
176,15-Mar,4:28:24 PM,30,Valid,5,1,1,3
177,15-Mar,4:42:48 PM,0,Valid,5,1,1,3
177,15-Mar,4:42:48 PM,1,Valid,5,0,4,1
178,15-Mar,4:45:17 PM,2,Valid,5,0,0,5
179,15-Mar,4:57:55 PM,0,Valid,5,0,5,0
179,15-Mar,4:57:55 PM,1,Valid,5,0,3,2
185,15-Mar,5:01:08 PM,2,Valid,5,1,3,1
194,17-Mar,9:09:21 AM,16,Valid,5,0,0,5
194,17-Mar,9:09:21 AM,17,Valid,5,0,0,5
194,17-Mar,9:09:21 AM,18,Valid,5,0,0,5
195,17-Mar,9:10:50 AM,19,Valid,5,0,0,5
196,17-Mar,9:12:13 AM,20,Valid,5,0,0,5
197,17-Mar,9:13:45 AM,21,Valid,5,0,0,5
198,17-Mar,9:16:43 AM,22,Valid,5,0,0,5
203,17-Mar,4:32:36 PM,23,Valid,5,3,0,2
203,17-Mar,4:32:36 PM,24,Valid,5,1,0,4
203,17-Mar,4:32:36 PM,25,Valid,5,0,2,3
204,17-Mar,4:34:34 PM,26,Valid,5,1,3,1
205,17-Mar,4:36:55 PM,27,Valid,5,0,1,4
206,17-Mar,4:39:45 PM,28,Valid,5,0,1,4
207,17-Mar,4:43:44 PM,29,Valid,5,0,3,2
209,17-Mar,7:56:11 PM,36,Valid,5,1,4,0
209,17-Mar,7:56:11 PM,37,Valid,5,1,4,0
209,17-Mar,7:56:11 PM,38,Valid,5,2,2,1
210,17-Mar,8:06:28 PM,39,Valid,5,1,3,1
210,17-Mar,8:06:28 PM,40,Valid,5,0,2,3
217,18-Mar,9:32:28 AM,43,Valid,5,1,1,3
217,18-Mar,9:32:28 AM,44,Valid,5,3,2,0
217,18-Mar,9:32:28 AM,45,Valid,5,1,0,4
218,18-Mar,1:45:28 PM,3,Valid,5,2,0,3
218,18-Mar,1:45:28 PM,4,Valid,5,2,1,2
218,18-Mar,1:45:28 PM,5,Valid,5,1,3,1
219,18-Mar,4:16:51 PM,11,Valid,5,0,2,3
219,18-Mar,4:16:51 PM,12,Valid,5,0,2,3
219,18-Mar,4:16:51 PM,13,Valid,5,0,0,5
220,18-Mar,4:18:35 PM,14,Valid,5,0,0,5
364,19-Mar,12:35:18 PM,0,Valid,5,1,2,2
364,19-Mar,12:35:18 PM,1,Valid,5,0,2,3
365,19-Mar,12:37:55 PM,2,Valid,5,0,2,3
368,19-Mar,2:08:55 PM,3,Valid,5,3,0,2
368,19-Mar,2:08:55 PM,4,Valid,5,0,3,2
368,19-Mar,2:08:55 PM,5,Valid,5,0,3,2
415,19-Mar,4:00:57 PM,9,Valid,5,2,1,2
415,19-Mar,4:00:57 PM,10,Valid,5,1,1,3
415,19-Mar,4:00:57 PM,11,Valid,5,1,2,2
448,19-Mar,6:01:13 PM,16,Valid,5,1,1,3
448,19-Mar,6:01:13 PM,17,Valid,5,0,2,3
448,19-Mar,6:01:13 PM,18,Valid,5,0,1,4
533,19-Mar,10:36:41 PM,20,Valid,5,0,2,3
533,19-Mar,10:36:41 PM,21,Valid,5,3,2,0
533,19-Mar,10:36:41 PM,22,Valid,5,1,2,2
538,19-Mar,10:48:37 PM,0,Valid,5,1,2,2
538,19-Mar,10:48:37 PM,1,Valid,5,3,2,0
543,20-Mar,9:04:51 AM,0,Valid,5,0,2,3
552,20-Mar,9:10:00 AM,1,Valid,5,1,3,1
570,20-Mar,10:38:53 AM,3,Valid,5,0,3,2
570,20-Mar,10:38:53 AM,4,Valid,5,2,0,3
570,20-Mar,10:38:53 AM,5,Valid,5,2,0,3
571,20-Mar,11:52:45 AM,0,Valid,5,0,5,0
571,20-Mar,11:52:45 AM,1,Valid,5,1,3,1
571,20-Mar,11:52:45 AM,2,Valid,5,2,1,2
572,20-Mar,12:27:28 PM,0,Valid,5,1,4,0
572,20-Mar,12:27:28 PM,1,Valid,5,0,3,2
573,20-Mar,12:29:04 PM,2,Valid,5,0,2,3
574,20-Mar,12:42:14 PM,0,Valid,5,1,1,3
574,20-Mar,12:42:14 PM,1,Valid,5,1,2,2
575,20-Mar,12:47:03 PM,2,Valid,5,1,1,3
607,20-Mar,1:27:13 PM,0,Valid,5,1,0,4
607,20-Mar,1:27:13 PM,1,Valid,5,1,2,2
608,20-Mar,1:31:30 PM,2,Valid,5,1,2,2
609,20-Mar,1:59:49 PM,0,Valid,5,0,0,5
609,20-Mar,1:59:49 PM,1,Valid,5,1,1,3
610,20-Mar,3:30:33 PM,2,Valid,5,1,2,2
610,20-Mar,3:30:33 PM,3,Valid,5,1,0,4
610,20-Mar,3:30:33 PM,4,Valid,5,0,1,4
611,20-Mar,4:54:05 PM,8,Valid,5,0,0,5
611,20-Mar,4:54:05 PM,9,Valid,5,0,1,4
611,20-Mar,4:54:05 PM,10,Valid,5,1,1,3
612,20-Mar,4:58:43 PM,11,Valid,5,0,1,4
613,20-Mar,4:59:32 PM,12,Valid,5,1,3,1
614,20-Mar,5:00:59 PM,13,Valid,5,0,1,4
616,20-Mar,5:20:43 PM,14,Valid,5,0,0,5
616,20-Mar,5:20:43 PM,15,Valid,5,0,2,3
629,21-Mar,8:10:38 AM,0,Valid,5,2,1,2
629,21-Mar,8:10:38 AM,1,Valid,5,2,3,0
641,21-Mar,12:03:15 PM,5,Valid,5,1,1,3
641,21-Mar,12:03:15 PM,6,Valid,5,3,0,2
641,21-Mar,12:03:15 PM,7,Valid,5,1,1,3
642,21-Mar,12:04:19 PM,8,Valid,5,1,1,3
643,21-Mar,1:01:38 PM,0,Valid,5,3,2,0
643,21-Mar,1:01:38 PM,1,Valid,5,3,1,1
644,21-Mar,1:03:12 PM,2,Valid,5,2,0,3
645,21-Mar,1:23:14 PM,0,Valid,5,0,0,5
646,21-Mar,1:40:15 PM,1,Valid,5,1,1,3
646,21-Mar,1:40:15 PM,2,Valid,5,1,1,3
647,21-Mar,1:43:08 PM,3,Valid,5,0,2,3
648,21-Mar,1:45:09 PM,4,Valid,5,0,1,4
649,21-Mar,1:48:45 PM,5,Valid,5,0,1,4
650,21-Mar,1:50:00 PM,6,Valid,5,0,0,5
651,21-Mar,1:53:44 PM,7,Valid,5,1,1,3
652,21-Mar,1:58:45 PM,8,Valid,5,1,2,2
655,22-Mar,11:47:43 AM,1,Valid,5,2,1,2
655,22-Mar,11:47:43 AM,2,Valid,5,0,3,2
655,22-Mar,11:47:43 AM,3,Valid,5,1,0,4
656,22-Mar,11:51:24 AM,4,Valid,5,0,0,5
657,22-Mar,12:01:34 PM,0,Valid,5,2,1,2
657,22-Mar,12:01:34 PM,1,Valid,5,0,0,5
658,22-Mar,12:06:23 PM,2,Valid,5,1,0,4
659,22-Mar,12:25:19 PM,0,Valid,5,0,0,5
659,22-Mar,12:25:19 PM,1,Valid,5,0,0,5
660,22-Mar,12:28:08 PM,2,Valid,5,0,0,5
661,22-Mar,12:33:39 PM,0,Valid,5,1,0,4
661,22-Mar,12:33:39 PM,1,Valid,5,0,1,4
662,22-Mar,12:37:02 PM,2,Valid,5,0,0,5
663,22-Mar,12:45:52 PM,0,Valid,5,0,0,5
663,22-Mar,12:45:52 PM,1,Valid,5,0,0,5
664,22-Mar,12:49:54 PM,2,Valid,5,0,0,5
665,22-Mar,12:51:41 PM,3,Valid,5,0,0,5
666,22-Mar,12:57:07 PM,4,Valid,5,0,0,5
667,22-Mar,12:59:14 PM,5,Valid,5,0,0,5
668,22-Mar,1:01:55 PM,6,Valid,5,0,0,5
669,22-Mar,2:14:49 PM,7,Valid,5,1,0,4
669,22-Mar,2:14:49 PM,8,Valid,5,1,1,3
669,22-Mar,2:14:49 PM,9,Valid,5,1,1,3
670,22-Mar,2:49:28 PM,0,Valid,5,1,1,3
670,22-Mar,2:49:28 PM,1,Valid,5,0,1,4
670,22-Mar,2:49:28 PM,2,Valid,5,0,0,5
671,22-Mar,2:51:25 PM,3,Valid,5,0,0,5
672,22-Mar,2:55:09 PM,0,Valid,5,0,1,4
673,22-Mar,2:58:45 PM,1,Valid,5,0,3,2
675,22-Mar,4:22:57 PM,2,Valid,5,3,1,1
675,22-Mar,4:22:57 PM,3,Valid,5,2,2,1
675,22-Mar,4:22:57 PM,4,Valid,5,2,1,2
676,22-Mar,4:33:47 PM,5,Valid,5,0,1,4
676,22-Mar,4:33:47 PM,6,Valid,5,0,0,5
677,22-Mar,4:35:32 PM,7,Valid,5,0,0,5
678,22-Mar,4:36:29 PM,8,Valid,5,0,0,5
679,22-Mar,4:37:58 PM,9,Valid,5,0,0,5
680,22-Mar,4:40:44 PM,10,Valid,5,1,2,2
681,22-Mar,4:42:25 PM,11,Valid,5,0,0,5
682,22-Mar,4:43:11 PM,12,Valid,5,0,4,1
683,22-Mar,4:43:55 PM,13,Valid,5,0,4,1
684,22-Mar,4:45:09 PM,14,Valid,5,0,2,3
685,22-Mar,4:46:28 PM,15,Valid,5,1,2,2
686,22-Mar,4:47:49 PM,16,Valid,5,0,1,4
687,22-Mar,4:48:38 PM,17,Valid,5,0,2,3
688,22-Mar,4:49:46 PM,18,Valid,5,0,2,3
689,22-Mar,4:51:42 PM,19,Valid,5,0,0,5
690,22-Mar,4:53:20 PM,20,Valid,5,1,1,3
691,22-Mar,4:54:00 PM,21,Valid,5,0,3,2
692,22-Mar,4:56:49 PM,22,Valid,5,0,0,5
693,22-Mar,5:02:32 PM,23,Valid,5,0,1,4
694,22-Mar,5:05:06 PM,24,Valid,5,0,0,5
695,22-Mar,5:06:18 PM,25,Valid,5,0,3,2
696,22-Mar,5:07:22 PM,26,Valid,5,1,2,2
697,22-Mar,5:10:35 PM,27,Valid,5,0,0,5
698,22-Mar,5:12:36 PM,28,Valid,5,0,1,4
699,22-Mar,5:33:16 PM,29,Valid,5,0,1,4
699,22-Mar,5:33:16 PM,30,Valid,5,0,0,5
699,22-Mar,5:33:16 PM,31,Valid,5,0,1,4
700,22-Mar,5:34:29 PM,32,Valid,5,0,3,2
703,24-Mar,1:54:17 PM,0,Valid,5,0,3,2
704,24-Mar,1:55:22 PM,1,Valid,5,2,2,1
721,24-Mar,2:23:40 PM,0,Valid,5,0,2,3
721,24-Mar,2:23:40 PM,1,Valid,5,0,0,5
728,24-Mar,2:32:00 PM,2,Valid,5,2,0,3
728,24-Mar,2:32:00 PM,3,Valid,5,2,2,1
733,24-Mar,2:35:14 PM,4,Valid,5,0,3,2
840,25-Mar,10:03:15 AM,1,Valid,5,2,0,3
840,25-Mar,10:03:15 AM,2,Valid,5,2,1,2
840,25-Mar,10:03:15 AM,3,Valid,5,2,0,3
856,25-Mar,10:55:25 AM,0,Valid,5,1,0,4
856,25-Mar,10:55:25 AM,1,Valid,5,2,1,2
856,25-Mar,10:55:25 AM,2,Valid,5,0,2,3
864,25-Mar,11:00:18 AM,3,Valid,5,2,0,3
867,25-Mar,11:04:22 AM,4,Valid,5,1,0,4
871,25-Mar,11:06:21 AM,5,Valid,5,1,0,4
876,25-Mar,11:14:59 AM,6,Valid,5,1,1,3
876,25-Mar,11:14:59 AM,7,Valid,5,2,2,1
876,25-Mar,11:14:59 AM,8,Valid,5,1,3,1
884,25-Mar,11:36:20 AM,0,Valid,5,0,4,1
884,25-Mar,11:36:20 AM,1,Valid,5,1,2,2
885,25-Mar,11:38:47 AM,2,Valid,5,0,3,2
890,25-Mar,11:50:17 AM,3,Valid,5,2,1,2
890,25-Mar,11:50:17 AM,4,Valid,5,0,0,5
891,25-Mar,11:51:24 AM,5,Valid,5,0,2,3
906,25-Mar,12:37:30 PM,9,Valid,5,4,1,0
906,25-Mar,12:37:30 PM,10,Valid,5,2,0,3
906,25-Mar,12:37:30 PM,11,Valid,5,1,0,4
909,25-Mar,1:01:00 PM,12,Valid,5,2,1,2
909,25-Mar,1:01:00 PM,13,Valid,5,2,0,3
909,25-Mar,1:01:00 PM,14,Valid,5,0,4,1
912,25-Mar,1:03:52 PM,15,Valid,5,2,0,3
913,25-Mar,1:08:46 PM,16,Valid,5,3,0,2
916,25-Mar,1:13:27 PM,17,Valid,5,5,0,0
923,25-Mar,3:58:14 PM,8,Valid,5,0,2,3
923,25-Mar,3:58:14 PM,9,Valid,5,0,1,4
923,25-Mar,3:58:14 PM,10,Valid,5,0,2,3
959,26-Mar,8:00:10 AM,6,Valid,5,1,1,3
959,26-Mar,8:00:10 AM,7,Valid,5,2,0,3
959,26-Mar,8:00:10 AM,8,Valid,5,0,1,4
960,26-Mar,8:04:23 AM,9,Valid,5,0,0,5
961,26-Mar,8:08:32 AM,10,Valid,5,0,1,4
966,26-Mar,9:08:52 AM,1,Valid,5,0,0,5
966,26-Mar,9:08:52 AM,2,Valid,5,1,1,3
966,26-Mar,9:08:52 AM,3,Valid,5,0,1,4
967,26-Mar,9:11:42 AM,4,Valid,5,0,1,4
968,26-Mar,9:15:42 AM,0,Valid,5,1,0,4
971,26-Mar,9:18:42 AM,1,Valid,5,1,0,4
971,26-Mar,9:18:42 AM,2,Valid,5,1,0,4
972,26-Mar,9:20:39 AM,3,Valid,5,1,0,4
979,26-Mar,9:30:45 AM,4,Valid,5,2,0,3
979,26-Mar,9:30:45 AM,5,Valid,5,1,0,4
1001,26-Mar,10:32:37 AM,1,Valid,5,1,0,4
1001,26-Mar,10:32:37 AM,2,Valid,5,0,0,5
1001,26-Mar,10:32:37 AM,3,Valid,5,3,0,2
1010,26-Mar,10:50:07 AM,0,Valid,5,2,1,2
1019,26-Mar,10:54:28 AM,0,Valid,5,3,0,2
1024,26-Mar,10:56:13 AM,1,Valid,5,3,0,2
1026,26-Mar,10:59:46 AM,2,Valid,5,3,0,2
1030,26-Mar,11:05:20 AM,3,Valid,5,2,0,3
1033,26-Mar,11:06:36 AM,4,Valid,5,0,2,3
1034,26-Mar,11:09:55 AM,5,Valid,5,2,1,2
